fighter_id,name,nickname,display_name,age,gender,nation,height_cm,weight_class,weight_class_max_kg,camp,style,stance,handedness,personality_tag,career_tier,mental_archetype,punch_power,punch_accuracy,kick_power,kick_accuracy,head_movement,footwork,cardio,takedown_offense,takedown_defense,submission_offense,submission_defense,clinch_striking,clinch_offense,clinch_defense,top_control,bottom_game,cage_wrestling,scramble_ability,fight_iq,adaptability,speed_explosiveness,strength,durability,flexibility,recovery_rate,chin,overall_current,potential,mental_score,personality_aggression,personality_composure,personality_risk_taking,personality_killer_instinct,personality_patience,personality_ego,personality_focus,personality_morale,personality_grit,personality_discipline,personality_ambition,personality_loyalty,personality_charisma,personality_attention_seeking,personality_coachability,personality_professionalism,personality_resilience,personality_sportsmanship,personality_travel_comfort,personality_fatigue_tolerance,suggested_wins,suggested_losses,suggested_draws,suggested_total_fights,suggested_win_pct,promotion_id,promotion_tier,backstory_depth,bio,ref_orig_overall,ref_orig_potential,ref_orig_winpct_from_bio,ref_bio_template_matched
1,Hiroki Nakamura,The Loose Chaos,"Hiroki Nakamura ""The Loose Chaos""",18,male,Japan,175,Welterweight,77.1,Valor Athletic,Brawler,southpaw,right,Calm,Prospect,Steady/Balanced,77,53,58,52,49,47,55,49,54,44,48,68,56,55,59,45,53,53,40,42,56,65,62,52,59,52,54.0,87,55.6,41,72,47,60,72,42,65,53,49,50,50,46,48,49,49,55,45,54,49,55,0,0,0,0,0.0,P1,Tier1_Large_International,Standard - career arc + 1-2 highlights,"At 18, Hiroki Nakamura is still writing the first chapters of a career that matchmakers are watching closely. Raw physical strength is the calling card, with a chin that's absorbed some heavy shots not far behind. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. Hiroki Nakamura has yet to make a professional debut. Matchmakers are already circling for the next step up.",58.4,80,0.5,prospect_flameout
2,Dmitry Ivanov,The Grinder,"Dmitry Ivanov ""The Grinder""",19,male,Russia,178,Lightweight,70.3,NextGen Combat,Wrestler,orthodox,right,Calm,Unproven,Steady/Balanced,32,36,31,36,34,33,43,75,60,40,35,38,40,45,77,37,70,46,37,37,55,43,35,38,48,32,43.6,58,54.5,40,75,47,51,70,47,66,55,46,48,47,51,49,50,48,50,52,49,47,46,0,1,0,1,0.0,P5,Tier3_Regional,Minimal - record only,"It's early for Dmitry Ivanov. Grinding on the local scene, and there isn't enough tape yet to know what this becomes. The gameplan usually starts with fence-wrestling that wears opponents down, backed up by takedown defense that frustrates grapplers. Dmitry Ivanov isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. 0-1. A short professional résumé so far, at 1 fight. Too early to know what this career becomes.",51.6,46,0.5,early_career_raw
3,Jeremy Morales,Package,"Jeremy Morales ""Package""",31,male,United States,180,Lightweight,70.3,Cobra Grappling,Balanced,orthodox,left,Aggressive,Gatekeeper,Grinder - overperforms tools,49,48,42,42,40,46,48,47,42,52,51,47,46,42,43,58,45,43,65,55,43,48,50,43,52,39,47.2,47,58.6,74,49,70,70,38,51,56,53,67,49,55,47,48,49,51,67,60,59,52,48,10,7,0,17,0.588,P7,Tier3_Regional,Standard - career arc + 1-2 highlights,"What Jeremy Morales lacks in natural tools gets made up for with a work rate that's worn down more talented opponents than it should. Opponents tend to game-plan around the ability to change gameplans on the fly first — an active, dangerous guard is what usually catches them out anyway. Discipline and a refusal to have a bad camp go to waste have carried Jeremy Morales further than raw ability ever would have. The record stands at 10-7 across 17 professional fights. A reliable measuring-stick fight for whoever's moving up next.",58.7,85,,promotion_needs_tester
4,Frank Williams,The Plowhorse,"Frank Williams ""The Plowhorse""",37,male,United States,174,Featherweight,65.8,Granite Athletic,Wrestler,orthodox,right,Calm,DecliningVet,Steady/Balanced,59,47,47,53,46,48,60,69,73,59,63,53,70,61,71,51,76,57,63,58,56,63,56,41,58,50,58.0,65,56.0,49,73,49,58,74,47,73,52,49,52,49,51,47,53,48,50,45,55,54,53,17,18,0,35,0.486,P7,Tier3_Regional,Standard - career arc + 1-2 highlights,"There was a time when Frank Williams felt like a lock for a title run. These days the story is more about staying relevant than climbing back. Takedown defense that frustrates grapplers is the calling card, with suffocating top position not far behind. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. Professionally, Frank Williams is 17-18 through 35 fights. Retirement talk follows, quietly, after every loss now.",55.5,60,0.364,veteran_gatekeeper
5,George Davis,Almost Heartbreak,"George Davis ""Almost Heartbreak""",18,male,United States,176,Middleweight,83.9,Cobra Institute,Balanced,orthodox,left,Aggressive,Prospect,Bottler - underperforms tools,48,49,44,46,47,43,53,47,53,49,48,53,44,49,47,49,46,52,43,50,51,42,46,56,56,48,48.4,80,51.9,75,36,68,71,30,60,57,51,54,52,55,52,53,50,49,45,51,45,51,55,1,0,0,1,1.0,P3,Tier2_Mid,Standard - career arc + 1-2 highlights,"George Davis looked like the next big thing early — then the schedule got harder, and the finishes stopped coming as easily. The gameplan usually starts with a gas tank that doesn't run empty, backed up by a knack for recovering between rounds. The losses on the record cluster in the biggest moments — title shots, eliminators, nights the whole division was watching. 1-0. A short professional résumé so far, at 1 fight. On a well-regarded mid-tier circuit, being moved carefully as the level of competition rises.",62.8,89,0.4,prospect_flameout
6,Cynthia Garcia,Grinding Grappler,"Cynthia Garcia ""Grinding Grappler""",24,female,United States,156,Flyweight,56.7,Ocean Combat,Grappler,orthodox,right,Methodical,Unproven,Steady/Balanced,39,43,45,48,35,41,60,59,66,56,63,42,63,56,61,57,53,60,57,55,57,50,55,55,57,45,53.0,68,55.9,52,61,44,56,77,49,77,49,54,47,46,45,51,54,47,52,53,50,46,55,4,3,0,7,0.571,P3,Tier2_Mid,Minimal - record only,"It's early for Cynthia Garcia. On a well-regarded mid-tier circuit, and there isn't enough tape yet to know what this becomes. Opponents tend to game-plan around suffocating top position first — takedown defense that frustrates grapplers is what usually catches them out anyway. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. Professionally, Cynthia Garcia is 4-3 through 7 fights. Fighting on a well-regarded mid-tier circuit while the sample size builds.",56.6,65,0.333,coinflip_early_career
7,Cristiano Cardim,Lock,"Cristiano Cardim ""Lock""",23,male,Brazil,193,Heavyweight,120.2,Savage Performance,Submission Specialist,southpaw,right,Methodical,Prospect,Steady/Balanced,44,50,33,49,40,51,60,62,52,88,57,41,62,55,63,81,53,76,64,57,54,48,52,67,64,46,56.5,90,56.2,55,66,44,56,71,49,74,48,49,48,51,47,54,51,45,64,48,66,50,55,3,1,0,4,0.75,P1,Tier1_Large_International,Standard - career arc + 1-2 highlights,"Cristiano Cardim is young enough that the ceiling is still the story — on the sport's biggest stage, the tools already look real. Opponents tend to game-plan around an unusually flexible frame first — constant danger on the ground is what usually catches them out anyway. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. 3-1 in 4 fights tells most of the story. On the sport's biggest stage, being moved carefully as the level of competition rises.",58.6,65,0.556,(none - fallback used)
8,Dylan Gomez,The Chaos,"Dylan Gomez ""The Chaos""",19,male,United States,177,Middleweight,83.9,Alpha Combat,Brawler,orthodox,left,Methodical,Prospect,Steady/Balanced,69,52,48,44,43,40,50,42,44,43,50,58,57,52,48,38,54,45,25,33,61,61,63,47,57,50,49.0,74,56.8,54,68,43,58,73,46,78,54,45,52,46,50,45,48,54,51,48,46,55,53,1,0,0,1,1.0,P2,Tier2_Mid,Standard - career arc + 1-2 highlights,"At 19, Dylan Gomez is still writing the first chapters of a career that matchmakers are watching closely. The gameplan usually starts with explosive first-step speed, backed up by a chin that's absorbed some heavy shots. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. 1-0. Still just 1 fight into a professional career. In a promotion pushing hard to be the next big thing, being moved carefully as the level of competition rises.",57.7,84,0.5,prospect_flameout
9,Paulo Moraes,Workhorse,"Paulo Moraes ""Workhorse""",25,male,Brazil,183,Light Heavyweight,93.0,Martial Fight Team,Striker,orthodox,right,Methodical,Gatekeeper,Grinder - overperforms tools,63,67,67,68,68,57,65,49,54,40,47,58,49,51,42,43,51,57,60,56,73,57,65,57,63,56,57.0,57,59.8,54,67,46,75,80,48,73,53,49,53,49,46,54,52,55,53,53,49,55,51,4,3,0,7,0.571,P9,Tier3_Regional,Standard - career arc + 1-2 highlights,"Paulo Moraes isn't the most gifted athlete on the roster, and it stopped mattering a long time ago — the record speaks for itself. Opponents tend to game-plan around kicks that change a stance permanently first — pinpoint kicking range is what usually catches them out anyway. Discipline and a refusal to have a bad camp go to waste have carried Paulo Moraes further than raw ability ever would have. Professionally, Paulo Moraes is 4-3 through 7 fights. Fights on hometown cards far from the big lights, usually across from someone trying to climb past this level.",57.6,92,,crowd_favorite_gatekeeper
10,Gerald King,The Ground Zero,"Gerald King ""The Ground Zero""",24,male,United States,176,Lightweight,70.3,Wolf Wrestling,Grappler,switch,left,Showman,Unproven,Fragile - fades under pressure,32,43,40,40,34,36,50,61,44,48,55,38,49,54,58,56,51,62,46,45,45,44,44,49,49,41,46.7,54,50.6,58,55,70,64,41,73,51,53,48,46,47,52,79,70,45,45,51,48,53,54,2,2,0,4,0.5,P6,Tier3_Regional,Minimal - record only,"Early returns on Gerald King are mixed — moments of real promise, undercut by nights where things fall apart fast. The gameplan usually starts with scrambling that turns bad spots good, backed up by an active, dangerous guard. Nerves have been a recurring issue — sharp in practice, tight in the cage once the bell rings. The record stands at 2-2 across 4 professional fights. Too early to know what this career becomes.",57.3,65,0.5,early_career_raw
